id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
666974,Yennier Cano,2022,28,10,0,14,13,14,5,0,3,14,11,0,17,1,.304,56,.414,.554,.968,0,1,1.000,.000,0,282,9.22,13.2,1,0,0,0,0,0,14,2.05,70,41,10,0,0,172,.610,1,0,2,0,31,1.08,1.000,20.63,2,1.27,9.22,7.24,11.20,9.22,1.98,3,0,0,0,2
666974,Yennier Cano,2022,28,3,0,3,3,9,0,0,0,7,5,0,9,0,.409,22,.519,.409,.928,0,0,.---,.---,0,112,18.69,4.1,0,1,0,0,0,0,9,3.23,27,13,3,0,0,70,.630,0,0,0,0,9,1.00,.000,25.85,1,1.40,14.54,10.38,18.69,18.69,0.00,0,0,0,0,0
666974,Yennier Cano,2022,28,13,0,17,16,23,5,0,3,21,16,0,26,1,.333,78,.443,.513,.956,0,1,1.000,.000,0,394,11.50,18.0,1,1,0,0,0,0,23,2.33,97,54,13,0,0,242,.610,1,0,2,0,40,1.06,.500,21.89,3,1.31,10.50,8.00,13.00,11.50,1.50,3,0,0,0,2
666974,Yennier Cano,2023,29,72,0,101,41,19,16,0,4,65,13,2,60,3,.226,266,.270,.331,.601,1,7,.875,.125,9,1017,2.11,72.2,1,4,8,14,31,6,17,1.00,283,218,72,0,0,679,.670,3,1,2,0,88,2.46,.200,14.00,20,5.00,8.05,1.61,7.43,2.35,0.50,35,8,0,1,0
666974,Yennier Cano,2024,30,70,0,76,29,24,9,1,6,65,24,1,54,1,.242,223,.317,.372,.689,3,7,.700,.300,7,1008,3.15,60.0,4,3,5,8,34,3,21,1.30,249,180,70,0,0,636,.630,1,1,0,0,83,2.62,.571,16.80,12,2.71,9.75,3.60,8.10,3.60,0.90,45,17,0,0,1
666974,Yennier Cano,2025,31,65,0,70,38,36,7,1,7,53,24,1,62,3,.284,218,.360,.422,.782,4,12,.750,.250,8,986,5.12,58.0,3,7,2,7,17,5,33,1.48,251,174,65,0,0,623,.630,3,1,2,2,92,1.84,.300,17.00,11,2.21,8.22,3.72,9.62,5.59,1.09,21,10,1,3,2
666974,Yennier Cano,2026,32,14,0,16,4,2,1,0,1,9,1,0,5,0,.147,34,.171,.265,.436,1,2,.667,.333,0,134,1.86,9.2,1,1,0,0,2,0,2,0.62,35,29,14,0,0,88,.660,0,0,0,0,9,4.00,.500,13.86,1,9.00,8.38,0.93,4.66,1.86,0.93,8,1,0,0,0
668674,Lucas Erceg,2023,28,50,0,47,43,33,18,1,1,68,36,1,51,6,.245,208,.371,.356,.727,1,0,.000,1.000,7,1053,4.75,55.0,4,4,0,2,11,2,29,1.58,251,165,50,0,0,621,.590,6,0,5,0,74,1.09,.500,19.15,4,1.89,11.13,5.89,8.35,5.40,0.16,25,3,0,0,1
668674,Lucas Erceg,2024,29,38,0,41,25,17,6,1,3,41,13,2,31,5,.225,138,.314,.348,.662,0,0,.---,.---,4,565,3.68,36.2,2,3,3,6,12,3,15,1.20,156,110,38,0,0,362,.640,5,0,4,0,48,1.64,.400,15.41,4,3.15,10.06,3.19,7.61,4.17,0.74,9,2,0,0,0
668674,Lucas Erceg,2024,29,23,0,19,25,9,4,0,0,31,3,0,18,1,.194,93,.227,.237,.464,0,0,.---,.---,0,382,2.88,25.0,0,3,11,13,6,2,8,0.84,97,75,23,0,0,254,.660,1,1,1,0,22,0.76,.000,15.28,12,10.33,11.16,1.08,6.48,3.24,0.00,13,2,0,0,0
