player_id,game_id,team_side,team_name,opponent_pitcher_name,opponent_pitcher_hand,batter_bat_side,lineup_position,batting_order_raw,batter_bats_left,batter_bats_right,batter_switch_hitter,pitcher_throws_left,platoon_advantage
680574,824529,home,Cincinnati Reds,Framber Valdez,,,2,200,0,0,0,0,0
702193,822992,away,Minnesota Twins,Drew Rasmussen,,,0,,0,0,0,0,0
641743,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
671739,824932,home,Atlanta Braves,Andrew Painter,,,5,500,0,0,0,0,0
669003,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
665561,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
643446,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
680573,822992,away,Minnesota Twins,Drew Rasmussen,,,0,,0,0,0,0,0
685299,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
681982,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
663738,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
695506,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
678218,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
678020,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
686797,822992,away,Minnesota Twins,Drew Rasmussen,,,8,800,0,0,0,0,0
664238,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
621566,824932,home,Atlanta Braves,Andrew Painter,,,3,300,0,0,0,0,0
621112,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
689296,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
663368,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
691718,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
702284,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
700250,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
665833,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
621383,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
808959,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
694738,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
663698,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
605288,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
671976,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
686823,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
518886,823638,home,New York Mets,Michael Lorenzen,,,0,,0,0,0,0,0
683618,823962,home,Los Angeles Dodgers,Jameson Taillon,,,0,,0,0,0,0,0
664983,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
657097,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
676974,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
691723,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
