player_id,game_id,team_side,team_name,opponent_pitcher_name,opponent_pitcher_hand,batter_bat_side,lineup_position,batting_order_raw,batter_bats_left,batter_bats_right,batter_switch_hitter,pitcher_throws_left,platoon_advantage
669084,824288,away,Milwaukee Brewers,Tarik Skubal,,,0,,0,0,0,0,0
665487,824368,away,San Diego Padres,Ryan Feltner,,,2,200,0,0,0,0,0
607455,823639,away,Minnesota Twins,Christian Scott,,,0,,0,0,0,0,0
665833,822912,away,Pittsburgh Pirates,Jacob deGrom,,,1,100,0,0,0,0,0
663698,822912,away,Pittsburgh Pirates,Jacob deGrom,,,9,900,0,0,0,0,0
642201,822745,away,Atlanta Braves,Cade Cavalli,,,9,901,0,0,0,0,0
675848,824368,home,Colorado Rockies,Matt Waldron,,,0,,0,0,0,0,0
671739,822745,away,Atlanta Braves,Cade Cavalli,,,6,600,0,0,0,0,0
663362,824368,away,San Diego Padres,Ryan Feltner,,,0,,0,0,0,0,0
656686,824689,home,Chicago Cubs,Cristopher Sánchez,,,0,,0,0,0,0,0
693645,824770,away,New York Yankees,Payton Tolle,,,0,,0,0,0,0,0
669701,822912,home,Texas Rangers,Bubba Chandler,,,8,800,0,0,0,0,0
669289,823233,away,Los Angeles Dodgers,Logan Webb,,,0,,0,0,0,0,0
677595,823639,home,New York Mets,Joe Ryan,,,8,800,0,0,0,0,0
621566,822745,away,Atlanta Braves,Cade Cavalli,,,3,300,0,0,0,0,0
695418,822745,home,Washington Nationals,JR Ritchie,,,0,,0,0,0,0,0
571510,824689,home,Chicago Cubs,Cristopher Sánchez,,,0,,0,0,0,0,0
607192,823233,away,Los Angeles Dodgers,Logan Webb,,,0,,0,0,0,0,0
694738,823233,home,San Francisco Giants,Tyler Glasnow,,,0,,0,0,0,0,0
681911,823233,away,Los Angeles Dodgers,Logan Webb,,,0,,0,0,0,0,0
694851,825096,home,Arizona Diamondbacks,Davis Martin,,,0,,0,0,0,0,0
663855,825096,away,Chicago White Sox,Michael Soroka,,,0,,0,0,0,0,0
701350,824770,home,Boston Red Sox,Cam Schlittler,,,0,,0,0,0,0,0
656537,825096,away,Chicago White Sox,Michael Soroka,,,5,501,0,0,0,0,0
678394,824770,home,Boston Red Sox,Cam Schlittler,,,0,,0,0,0,0,0
