player_id,player_name,position,lineup_position,batter_bat_side,opponent_pitcher_name,opponent_pitcher_hand,platoon_advantage,away_team,home_team,game_datetime,p_hit
676475,Alec Burleson,1B,0,,,,0,Seattle Mariners,St. Louis Cardinals,2026-04-25T00:15:00Z,1.0
642708,Amed Rosario,3B,0,,,,0,New York Yankees,Houston Astros,2026-04-25T00:10:00Z,1.0
665926,Andrés Giménez,2B,0,,,,0,Cleveland Guardians,Toronto Blue Jays,2026-04-24T23:07:00Z,1.0
681624,Andy Pages,CF,0,,,,0,Chicago Cubs,Los Angeles Dodgers,2026-04-25T02:15:00Z,1.0
682657,Angel Martínez,CF,0,,,,0,Cleveland Guardians,Toronto Blue Jays,2026-04-24T23:07:00Z,1.0
700250,Ben Rice,1B,0,,,,0,New York Yankees,Houston Astros,2026-04-25T00:10:00Z,1.0
677951,Bobby Witt,SS,0,,,,0,Los Angeles Angels,Kansas City Royals,2026-04-24T23:40:00Z,1.0
663604,Brandon Lockridge,LF,0,,,,0,Pittsburgh Pirates,Milwaukee Brewers,2026-04-24T23:40:00Z,1.0
669016,Brandon Marsh,CF,0,,,,0,Philadelphia Phillies,Atlanta Braves,2026-04-24T23:15:00Z,1.0
607043,Brandon Nimmo,LF,0,,,,0,Athletics,Texas Rangers,2026-04-25T00:05:00Z,1.0
