player_id,player_name,position,away_team,home_team,game_datetime,p_hit
669477,Casey Schmitt,3B,Los Angeles Dodgers,San Francisco Giants,2026-04-23T19:45:00Z,1.0
677800,Wilyer Abreu,RF,New York Yankees,Boston Red Sox,2026-04-23T22:10:00Z,1.0
