player_id,player_name,position,away_team,home_team,game_datetime,p_hit
665487,Fernando Tatis,RF,San Diego Padres,Colorado Rockies,2026-04-23T19:10:00Z,0.27647059559822085
681624,Andy Pages,CF,Los Angeles Dodgers,San Francisco Giants,2026-04-23T19:45:00Z,0.27647059559822085
