player_id,player_name,position,lineup_position,batter_bat_side,opponent_pitcher_name,opponent_pitcher_hand,platoon_advantage,matchup_split_avg,matchup_split_ops,matchup_split_pa,away_team,home_team,game_datetime,p_hit
677951,Bobby Witt,SS,2,,Jeffrey Springs,,0,0.27,0.72,0,Kansas City Royals,Athletics,2026-04-30T19:05:00Z,0.6141639947891235
691023,Jordan Walker,RF,4,,Paul Skenes,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.6132819414138794
624413,Pete Alonso,1B,4,,Peter Lambert,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.6123472332954407
701762,Nick Kurtz,1B,3,,Noah Cameron,,0,0.27,0.72,0,Kansas City Royals,Athletics,2026-04-30T19:05:00Z,0.6118574261665344
671056,Iván Herrera,C,2,,Paul Skenes,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.6107143521308899
681198,TJ Rumfield,1B,6,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.6095322132110595
670770,TJ Friedl,CF,1,,Michael Lorenzen,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.6080078840255737
665833,Oneil Cruz,CF,1,,Hunter Dobbins,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.6072646021842957
669236,Jeremiah Jackson,2B,6,,Peter Lambert,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.6058954477310181
671289,Tyler Freeman,RF,4,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.6027328372001648
650402,Gleyber Torres,2B,2,,Bryce Elder,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.6004737615585327
695578,James Wood,RF,1,,Freddy Peralta,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5985721588134766
643289,Mauricio Dubón,SS,6,,Framber Valdez,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.59853276014328
695600,Carter Jensen,C,7,,Jeffrey Springs,,0,0.27,0.72,0,Kansas City Royals,Athletics,2026-04-30T19:05:00Z,0.5965764403343201
668804,Bryan Reynolds,LF,3,,Hunter Dobbins,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.5948196172714233
673237,Yainer Diaz,C,6,,Chris Bassitt,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.5944477915763855
679529,Spencer Torkelson,1B,5,,Bryce Elder,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.590631115436554
680574,Matt McLain,2B,2,,Michael Lorenzen,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.5873682022094726
804606,Konnor Griffin,SS,7,,Hunter Dobbins,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.5847655653953552
670623,Isaac Paredes,3B,3,,Chris Bassitt,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.5796014070510864
669357,Nolan Gorman,3B,5,,Paul Skenes,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.5767200350761413
543760,Marcus Semien,2B,6,,Miles Mikolas,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5740457892417907
690993,Colt Keith,3B,3,,Bryce Elder,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.5653775095939636
701807,Carson Benge,LF,7,,Miles Mikolas,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5621235847473145
663586,Austin Riley,3B,5,,Framber Valdez,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.5612553119659424
672695,Geraldo Perdomo,SS,1,,Brandon Woodruff,,0,0.27,0.72,0,Arizona Diamondbacks,Milwaukee Brewers,2026-04-30T17:40:00Z,0.5541839838027954
